Date, Open, High, Low, Close
2/10/2023,33671.54,33897.31,33591.99,33869.27
2/9/2023,34105.61,34252.57,33607.13,33699.88
2/8/2023,34132.9,34161.65,33899.79,33949.01
2/7/2023,33769.78,34240,33634.1,34156.69
2/6/2023,33874.44,33962.84,33683.58,33891.02
